Year,emissions_from_oil,emissions_from_coal,emissions_from_cement,emissions_from_gas,emissions_from_flaring,emissions_from_other_industry,Annual CO2 emissions,population_historical,co2_per_capita
1810,,39492310.0,,,,0.0,39492310.0,1028932352,0.038381833288880784
1820,,50733076.0,,,,0.0,50733076.0,1065623616,0.04760881350437338
1830,,88988500.0,,,,0.0,88988500.0,1148205440,0.07750224559117226
1840,,118808510.0,,,,0.0,118808510.0,1209754496,0.09820877739478143
1850,,196847600.0,,,,0.0,196847600.0,1287033856,0.15294671471330742
1860,273469.0,332025000.0,,,,0.0,332298469.0,1346093952,0.24686127480647058
1870,3133091.0,532990180.0,,,,0.0,536123271.0,1346763136,0.3980828229322725
1880,15363418.0,842692100.0,172.0,,,0.0,858055690.0,1427718912,0.600997635310444
1890,34650424.0,1260252000.0,665.0,11688053.0,,0.0,1306591142.0,1548405760,0.8438299415781042
1900,67308136.0,1882639600.0,1395.0,11541600.0,,0.0,1961490731.0,1670635648,1.1740984536922798
1910,144106300.0,2871821800.0,135402.0,24915200.0,,2347200.0,3043325902.0,1800219392,1.6905305628437537
1920,361040500.0,3132615200.0,148899.0,41685396.0,,2347200.0,3537837195.0,1927857152,1.8351137641758222
1930,599795400.0,3216241400.0,35561064.0,104224110.0,,2273850.0,3958095824.0,2106406144,1.8790753318273647
1940,901067100.0,3795421700.0,31430612.0,153516830.0,,3227400.0,4884663642.0,2328460032,2.0978086696228937
1950,1549885400.0,3881695000.0,66899612.0,353151420.0,73624420.0,4987800.0,5930243652.0,2493092843,2.378669397993214
1960,3120795400.0,5157614600.0,157393820.0,834559170.0,89140216.0,27507190.0,9387010396.0,3015470890,3.112950095830638
1970,6799776300.0,5698193400.0,288252500.0,1790807300.0,277744900.0,44349864.0,14899124264.0,3694683801,4.032584401395166
1980,8949605000.0,7009021000.0,406269400.0,2758970600.0,316455840.0,48202376.0,19488524216.0,4447606208,4.381800749568519
1990,9244039000.0,8702585000.0,494369250.0,3806152400.0,258793970.0,223048860.0,22728988480.0,5327803075,4.266108968376238
2000,10270908000.0,9202369000.0,723999360.0,4749870600.0,347079100.0,216327600.0,25510553660.0,6171703018,4.133470710693228
2010,11323283000.0,13954141000.0,1263142900.0,6227937000.0,341241660.0,246157040.0,33355902600.0,7021732131,4.750380956963339
2020,10960689000.0,14266885000.0,1638270500.0,7564561000.0,401057150.0,295063360.0,35126526010.0,7887001284,4.453723886321609
